,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Total,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Total,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Total,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Total,,,,,Grand Total,,,,
MP HOTEL,Hôtel Montreux Palace SA,99,72'276.15,77'769.10,77'769.10,0.00,0.00,77'638.05,83'538.60,83'538.60,0.00,0.00,88'565.65,95'296.45,95'296.45,0.00,0.00,80'133.55,86'223.70,86'223.70,0.00,0.00,65'655.15,70'645.15,70'645.15,0.00,0.00,64'700.05,69'617.30,69'617.30,0.00,0.00,58'051.65,62'463.85,62'463.85,0.00,0.00,33'531.20,36'079.70,36'079.70,0.00,0.00,540'551.45,581'633.85,581'633.85,0.00,0.00,35'427.40,38'120.25,38'120.25,0.00,0.00,35'395.05,38'084.95,38'084.95,0.00,0.00,54'031.30,58'138.00,58'138.00,0.00,0.00,57'982.90,62'389.35,62'389.35,0.00,0.00,63'485.50,68'310.15,68'310.15,0.00,0.00,65'515.35,70'494.40,70'494.40,0.00,0.00,83'580.30,89'932.50,89'932.50,0.00,0.00,76'131.30,81'917.50,81'917.50,0.00,0.00,59'095.60,63'586.90,63'586.90,0.00,0.00,53'398.85,57'457.35,57'457.35,0.00,0.00,60'060.95,64'625.80,64'625.80,0.00,0.00,57'615.70,61'995.15,61'995.15,0.00,0.00,701'720.20,755'052.30,755'052.30,0.00,0.00,30'261.80,32'561.60,32'561.60,0.00,0.00,56'622.95,60'926.45,60'926.45,0.00,0.00,57'136.70,61'479.15,61'479.15,0.00,0.00,55'722.20,59'957.10,59'957.10,0.00,0.00,70'680.50,76'052.15,76'052.15,0.00,0.00,86'169.75,92'718.65,92'718.65,0.00,0.00,90'942.95,97'855.20,97'855.20,0.00,0.00,69'112.45,74'365.15,74'365.15,0.00,0.00,66'855.30,71'936.25,71'936.25,0.00,0.00,45'504.05,48'962.30,48'962.30,0.00,0.00,43'644.90,46'961.85,46'961.85,0.00,0.00,43'554.25,46'864.05,46'864.05,0.00,0.00,716'207.80,770'639.90,770'639.90,0.00,0.00,27'964.30,30'089.45,30'089.45,0.00,0.00,47'749.35,51'377.95,51'377.95,0.00,0.00,37'871.05,40'748.90,40'748.90,0.00,0.00,44'872.90,48'282.90,48'282.90,0.00,0.00,54'148.55,58'263.75,58'263.75,0.00,0.00,79'736.10,85'795.80,85'795.80,0.00,0.00,84'390.50,90'803.60,90'803.60,0.00,0.00,76'067.25,81'848.10,81'848.10,0.00,0.00,66'951.55,72'039.75,72'039.75,0.00,0.00,74'015.90,79'640.85,79'640.85,0.00,0.00,54'700.35,58'857.70,58'857.70,0.00,0.00,39'865.65,42'895.40,42'895.40,0.00,0.00,688'333.45,740'644.15,740'644.15,0.00,0.00,2'646'812.90,2'847'970.20,2'847'970.20,0.00,0.00
MP JAAN,Hôtel Montreux-Palace SA,495,,,,,,,,,,,968.35,1'041.90,1'041.90,0.00,0.00,660.35,710.55,710.55,0.00,0.00,859.10,924.40,924.40,0.00,0.00,866.75,932.65,932.65,0.00,0.00,492.90,530.35,530.35,0.00,0.00,752.50,809.65,809.65,0.00,0.00,4'599.95,4'949.50,4'949.50,0.00,0.00,456.65,491.40,491.40,0.00,0.00,406.40,437.30,437.30,0.00,0.00,461.15,496.20,496.20,0.00,0.00,520.85,560.45,560.45,0.00,0.00,484.00,520.85,520.85,0.00,0.00,492.15,529.50,529.50,0.00,0.00,779.85,839.05,839.05,0.00,0.00,396.80,426.95,426.95,0.00,0.00,478.40,514.75,514.75,0.00,0.00,982.25,1'056.85,1'056.85,0.00,0.00,627.50,675.20,675.20,0.00,0.00,909.95,979.10,979.10,0.00,0.00,6'995.95,7'527.60,7'527.60,0.00,0.00,155.20,167.00,167.00,0.00,0.00,703.35,756.75,756.75,0.00,0.00,713.40,767.65,767.65,0.00,0.00,560.85,603.45,603.45,0.00,0.00,824.80,887.40,887.40,0.00,0.00,752.95,810.15,810.15,0.00,0.00,893.90,961.80,961.80,0.00,0.00,490.90,528.25,528.25,0.00,0.00,689.80,742.20,742.20,0.00,0.00,567.60,610.75,610.75,0.00,0.00,610.80,657.15,657.15,0.00,0.00,702.00,755.35,755.35,0.00,0.00,7'665.55,8'247.90,8'247.90,0.00,0.00,396.00,426.05,426.05,0.00,0.00,585.00,629.40,629.40,0.00,0.00,616.20,663.15,663.15,0.00,0.00,473.40,509.45,509.45,0.00,0.00,378.00,406.65,406.65,0.00,0.00,643.80,692.70,692.70,0.00,0.00,662.40,712.70,712.70,0.00,0.00,132.00,142.00,142.00,0.00,0.00,928.80,999.35,999.35,0.00,0.00,534.30,574.90,574.90,0.00,0.00,822.00,884.45,884.45,0.00,0.00,591.60,636.50,636.50,0.00,0.00,6'763.50,7'277.30,7'277.30,0.00,0.00,26'024.95,28'002.30,28'002.30,0.00,0.00
MP MJC,Hôtel Montreux Palace SA,434,2'871.05,3'089.15,3'089.15,0.00,0.00,2'632.80,2'832.95,2'832.95,0.00,0.00,3'833.85,4'125.10,4'125.10,0.00,0.00,3'133.90,3'372.05,3'372.05,0.00,0.00,2'969.75,3'195.45,3'195.45,0.00,0.00,3'297.10,3'547.70,3'547.70,0.00,0.00,2'712.25,2'918.25,2'918.25,0.00,0.00,2'930.65,3'153.30,3'153.30,0.00,0.00,24'381.35,26'233.95,26'233.95,0.00,0.00,2'511.60,2'702.45,2'702.45,0.00,0.00,2'519.65,2'711.20,2'711.20,0.00,0.00,2'678.55,2'882.05,2'882.05,0.00,0.00,2'606.05,2'804.05,2'804.05,0.00,0.00,2'038.30,2'193.20,2'193.20,0.00,0.00,1'700.40,1'829.70,1'829.70,0.00,0.00,2'884.75,3'104.05,3'104.05,0.00,0.00,2'454.80,2'641.45,2'641.45,0.00,0.00,2'427.20,2'611.50,2'611.50,0.00,0.00,2'088.60,2'247.35,2'247.35,0.00,0.00,1'984.00,2'134.85,2'134.85,0.00,0.00,2'476.35,2'664.60,2'664.60,0.00,0.00,28'370.25,30'526.45,30'526.45,0.00,0.00,1'662.15,1'788.50,1'788.50,0.00,0.00,1'735.85,1'867.75,1'867.75,0.00,0.00,2'209.90,2'377.75,2'377.75,0.00,0.00,1'881.85,2'024.90,2'024.90,0.00,0.00,1'890.55,2'034.25,2'034.25,0.00,0.00,1'738.85,1'871.00,1'871.00,0.00,0.00,2'568.05,2'763.25,2'763.25,0.00,0.00,1'972.60,2'122.40,2'122.40,0.00,0.00,2'143.90,2'306.70,2'306.70,0.00,0.00,2'270.45,2'443.10,2'443.10,0.00,0.00,1'922.50,2'068.75,2'068.75,0.00,0.00,2'014.05,2'167.05,2'167.05,0.00,0.00,24'010.70,25'835.40,25'835.40,0.00,0.00,1'991.60,2'142.95,2'142.95,0.00,0.00,1'900.60,2'045.10,2'045.10,0.00,0.00,2'220.50,2'389.30,2'389.30,0.00,0.00,2'090.65,2'249.50,2'249.50,0.00,0.00,1'949.95,2'098.10,2'098.10,0.00,0.00,1'797.10,1'933.60,1'933.60,0.00,0.00,2'964.55,3'189.75,3'189.75,0.00,0.00,2'347.90,2'526.45,2'526.45,0.00,0.00,2'387.70,2'569.20,2'569.20,0.00,0.00,2'156.65,2'320.55,2'320.55,0.00,0.00,2'306.65,2'482.05,2'482.05,0.00,0.00,2'401.95,2'584.45,2'584.45,0.00,0.00,26'515.80,28'531.00,28'531.00,0.00,0.00,103'278.10,111'126.80,111'126.80,0.00,0.00
MP PALMERA,Hôtel Montreux Palace SA,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'605.95,1'728.00,1'728.00,0.00,0.00,928.80,999.50,999.50,0.00,0.00,1'140.40,1'227.10,1'227.10,0.00,0.00,1'948.15,2'096.20,2'096.20,0.00,0.00,1'412.40,1'519.85,1'519.85,0.00,0.00,1'215.15,1'307.50,1'307.50,0.00,0.00,1'176.25,1'265.65,1'265.65,0.00,0.00,1'126.05,1'211.60,1'211.60,0.00,0.00,1'324.95,1'425.60,1'425.60,0.00,0.00,11'878.10,12'781.00,12'781.00,0.00,0.00,760.00,817.75,817.75,0.00,0.00,1'067.00,1'148.00,1'148.00,0.00,0.00,1'075.80,1'157.55,1'157.55,0.00,0.00,1'333.60,1'434.95,1'434.95,0.00,0.00,1'184.10,1'274.05,1'274.05,0.00,0.00,1'482.85,1'595.60,1'595.60,0.00,0.00,1'649.55,1'774.90,1'774.90,0.00,0.00,1'345.75,1'448.00,1'448.00,0.00,0.00,1'159.50,1'247.65,1'247.65,0.00,0.00,920.70,990.70,990.70,0.00,0.00,1'164.30,1'252.80,1'252.80,0.00,0.00,1'075.25,1'156.90,1'156.90,0.00,0.00,14'218.40,15'298.85,15'298.85,0.00,0.00,649.70,699.00,699.00,0.00,0.00,1'019.75,1'097.30,1'097.30,0.00,0.00,784.30,843.90,843.90,0.00,0.00,1'153.65,1'241.25,1'241.25,0.00,0.00,1'155.55,1'243.35,1'243.35,0.00,0.00,1'267.45,1'363.85,1'363.85,0.00,0.00,1'725.65,1'856.85,1'856.85,0.00,0.00,1'269.10,1'365.50,1'365.50,0.00,0.00,1'241.95,1'336.35,1'336.35,0.00,0.00,1'609.25,1'731.60,1'731.60,0.00,0.00,1'536.50,1'653.25,1'653.25,0.00,0.00,1'372.35,1'476.55,1'476.55,0.00,0.00,14'785.20,15'908.75,15'908.75,0.00,0.00,40'881.70,43'988.60,43'988.60,0.00,0.00
MP PTPALAI,Hôtel Montreux Palace SA,453,1'855.45,1'996.55,1'996.55,0.00,0.00,3'377.55,3'634.20,3'634.20,0.00,0.00,4'850.40,5'219.05,5'219.05,0.00,0.00,3'858.60,4'151.90,4'151.90,0.00,0.00,2'056.05,2'212.35,2'212.35,0.00,0.00,881.90,948.90,948.90,0.00,0.00,312.05,335.80,335.80,0.00,0.00,101.60,109.30,109.30,0.00,0.00,17'293.60,18'608.05,18'608.05,0.00,0.00,48.10,51.75,51.75,0.00,0.00,254.15,273.45,273.45,0.00,0.00,175.70,189.05,189.05,0.00,0.00,162.20,174.55,174.55,0.00,0.00,1'538.85,1'655.85,1'655.85,0.00,0.00,4'375.60,4'708.05,4'708.05,0.00,0.00,5'634.55,6'062.75,6'062.75,0.00,0.00,4'695.95,5'052.90,5'052.90,0.00,0.00,2'171.40,2'336.40,2'336.40,0.00,0.00,151.05,162.55,162.55,0.00,0.00,,,,,,,,,,,19'207.55,20'667.30,20'667.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,958.05,1'030.80,1'030.80,0.00,0.00,2'375.50,2'556.05,2'556.05,0.00,0.00,3'815.20,4'105.15,4'105.15,0.00,0.00,2'925.05,3'147.30,3'147.30,0.00,0.00,1'897.80,2'042.00,2'042.00,0.00,0.00,,,,,,,,,,,,,,,,11'971.60,12'881.30,12'881.30,0.00,0.00,,,,,,82.95,89.25,89.25,0.00,0.00,,,,,,88.00,94.70,94.70,0.00,0.00,1'412.75,1'520.15,1'520.15,0.00,0.00,2'922.75,3'144.90,3'144.90,0.00,0.00,3'761.40,4'047.25,4'047.25,0.00,0.00,3'144.85,3'383.85,3'383.85,0.00,0.00,2'289.85,2'463.95,2'463.95,0.00,0.00,,,,,,,,,,,,,,,,13'702.55,14'744.05,14'744.05,0.00,0.00,62'175.30,66'900.70,66'900.70,0.00,0.00
MP TOURNES,Hôtel Montreux Palace SA,355,533.25,573.75,573.75,0.00,0.00,463.10,498.30,498.30,0.00,0.00,406.80,437.75,437.75,0.00,0.00,731.70,787.30,787.30,0.00,0.00,856.40,921.55,921.55,0.00,0.00,919.65,989.60,989.60,0.00,0.00,434.40,467.40,467.40,0.00,0.00,320.00,344.30,344.30,0.00,0.00,4'665.30,5'019.95,5'019.95,0.00,0.00,414.30,445.80,445.80,0.00,0.00,541.40,582.55,582.55,0.00,0.00,433.35,466.30,466.30,0.00,0.00,670.00,720.90,720.90,0.00,0.00,513.15,552.15,552.15,0.00,0.00,723.15,778.10,778.10,0.00,0.00,959.95,1'032.95,1'032.95,0.00,0.00,652.20,701.80,701.80,0.00,0.00,418.30,450.05,450.05,0.00,0.00,874.20,940.60,940.60,0.00,0.00,507.45,546.05,546.05,0.00,0.00,600.55,646.20,646.20,0.00,0.00,7'308.00,7'863.45,7'863.45,0.00,0.00,356.35,383.45,383.45,0.00,0.00,426.05,458.40,458.40,0.00,0.00,758.45,816.15,816.15,0.00,0.00,481.40,518.05,518.05,0.00,0.00,471.30,507.10,507.10,0.00,0.00,673.55,724.75,724.75,0.00,0.00,832.70,896.00,896.00,0.00,0.00,602.15,647.95,647.95,0.00,0.00,647.05,696.30,696.30,0.00,0.00,460.70,495.70,495.70,0.00,0.00,503.55,541.85,541.85,0.00,0.00,658.95,709.00,709.00,0.00,0.00,6'872.20,7'394.70,7'394.70,0.00,0.00,268.65,289.10,289.10,0.00,0.00,517.25,556.50,556.50,0.00,0.00,557.35,599.70,599.70,0.00,0.00,515.45,554.65,554.65,0.00,0.00,502.50,540.65,540.65,0.00,0.00,1'021.75,1'099.35,1'099.35,0.00,0.00,988.70,1'063.80,1'063.80,0.00,0.00,817.20,879.25,879.25,0.00,0.00,609.45,655.70,655.70,0.00,0.00,777.30,836.35,836.35,0.00,0.00,657.25,707.15,707.15,0.00,0.00,605.10,651.10,651.10,0.00,0.00,7'837.95,8'433.30,8'433.30,0.00,0.00,26'683.45,28'711.40,28'711.40,0.00,0.00
MP WILLOW,Hôtel Montreux Palace SA,497,,,,,,,,,,,,,,,,,,,,,,,,,,4'590.05,4'938.90,4'938.90,0.00,0.00,10'279.05,11'060.25,11'060.25,0.00,0.00,9'812.70,10'558.55,10'558.55,0.00,0.00,24'681.80,26'557.70,26'557.70,0.00,0.00,12'007.55,12'920.10,12'920.10,0.00,0.00,10'723.40,11'538.30,11'538.30,0.00,0.00,12'797.90,13'770.60,13'770.60,0.00,0.00,16'601.10,17'862.75,17'862.75,0.00,0.00,13'537.70,14'566.45,14'566.45,0.00,0.00,18'897.40,20'333.70,20'333.70,0.00,0.00,21'567.35,23'206.40,23'206.40,0.00,0.00,20'969.70,22'563.40,22'563.40,0.00,0.00,18'388.85,19'786.40,19'786.40,0.00,0.00,17'728.80,19'076.10,19'076.10,0.00,0.00,19'772.90,21'275.55,21'275.55,0.00,0.00,21'123.80,22'729.55,22'729.55,0.00,0.00,204'116.45,219'629.30,219'629.30,0.00,0.00,14'753.05,15'874.30,15'874.30,0.00,0.00,24'083.85,25'914.35,25'914.35,0.00,0.00,21'628.75,23'272.70,23'272.70,0.00,0.00,20'631.45,22'199.45,22'199.45,0.00,0.00,23'209.50,24'973.45,24'973.45,0.00,0.00,22'747.25,24'476.20,24'476.20,0.00,0.00,23'841.80,25'653.85,25'653.85,0.00,0.00,24'235.60,26'077.50,26'077.50,0.00,0.00,20'248.50,21'787.25,21'787.25,0.00,0.00,17'266.75,18'579.15,18'579.15,0.00,0.00,19'989.70,21'508.80,21'508.80,0.00,0.00,20'518.50,22'078.10,22'078.10,0.00,0.00,253'154.70,272'395.10,272'395.10,0.00,0.00,16'406.35,17'653.25,17'653.25,0.00,0.00,21'098.15,22'701.55,22'701.55,0.00,0.00,16'736.50,18'008.60,18'008.60,0.00,0.00,20'641.45,22'210.05,22'210.05,0.00,0.00,25'011.80,26'912.65,26'912.65,0.00,0.00,24'352.20,26'202.85,26'202.85,0.00,0.00,24'338.70,26'188.40,26'188.40,0.00,0.00,26'409.80,28'416.95,28'416.95,0.00,0.00,23'186.45,24'948.70,24'948.70,0.00,0.00,21'616.00,23'258.75,23'258.75,0.00,0.00,22'024.10,23'697.95,23'697.95,0.00,0.00,19'482.95,20'963.60,20'963.60,0.00,0.00,261'304.45,281'163.30,281'163.30,0.00,0.00,743'257.40,799'745.40,799'745.40,0.00,0.00
NEW CHINA,Restaurant China Garden,418,1'410.30,1'517.45,1'517.45,0.00,0.00,1'384.00,1'489.20,1'489.20,0.00,0.00,1'394.70,1'500.70,1'500.70,0.00,0.00,1'652.70,1'778.30,1'778.30,0.00,0.00,1'701.50,1'830.85,1'830.85,0.00,0.00,1'729.50,1'860.95,1'860.95,0.00,0.00,1'698.00,1'827.05,1'827.05,0.00,0.00,1'725.10,1'856.25,1'856.25,0.00,0.00,12'695.80,13'660.75,13'660.75,0.00,0.00,1'705.00,1'834.60,1'834.60,0.00,0.00,1'685.90,1'813.95,1'813.95,0.00,0.00,1'712.00,1'842.15,1'842.15,0.00,0.00,1'711.10,1'841.20,1'841.20,0.00,0.00,1'698.00,1'827.10,1'827.10,0.00,0.00,1'686.60,1'814.85,1'814.85,0.00,0.00,1'702.80,1'832.20,1'832.20,0.00,0.00,1'698.00,1'827.10,1'827.10,0.00,0.00,1'659.80,1'785.95,1'785.95,0.00,0.00,1'708.50,1'838.35,1'838.35,0.00,0.00,1'694.70,1'823.45,1'823.45,0.00,0.00,1'663.00,1'789.40,1'789.40,0.00,0.00,20'325.40,21'870.30,21'870.30,0.00,0.00,1'645.50,1'770.65,1'770.65,0.00,0.00,1'649.00,1'774.35,1'774.35,0.00,0.00,1'667.10,1'793.80,1'793.80,0.00,0.00,1'618.80,1'741.80,1'741.80,0.00,0.00,1'645.00,1'770.00,1'770.00,0.00,0.00,1'632.10,1'756.15,1'756.15,0.00,0.00,1'604.80,1'726.75,1'726.75,0.00,0.00,1'617.60,1'740.55,1'740.55,0.00,0.00,1'624.50,1'748.00,1'748.00,0.00,0.00,1'664.00,1'790.50,1'790.50,0.00,0.00,1'405.50,1'512.30,1'512.30,0.00,0.00,1'663.80,1'790.30,1'790.30,0.00,0.00,19'437.70,20'915.15,20'915.15,0.00,0.00,1'649.00,1'774.30,1'774.30,0.00,0.00,1'666.50,1'793.20,1'793.20,0.00,0.00,1'663.00,1'789.45,1'789.45,0.00,0.00,1'778.40,1'913.55,1'913.55,0.00,0.00,1'673.50,1'800.70,1'800.70,0.00,0.00,1'729.50,1'860.95,1'860.95,0.00,0.00,1'638.50,1'763.00,1'763.00,0.00,0.00,1'670.00,1'796.95,1'796.95,0.00,0.00,1'673.50,1'800.70,1'800.70,0.00,0.00,,,,,,,,,,,,,,,,15'141.90,16'292.80,16'292.80,0.00,0.00,67'600.80,72'739.00,72'739.00,0.00,0.00
NIFFENEGER,Restoref SA,406,2'016.80,2'170.10,2'170.10,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,16'016.80,17'234.10,17'234.10,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,24'000.00,25'824.00,25'824.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'026.40,2'180.40,2'180.40,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,2'000.00,2'152.00,2'152.00,0.00,0.00,1'350.00,1'452.60,1'452.60,0.00,0.00,1'350.00,1'452.60,1'452.60,0.00,0.00,22'726.40,24'453.60,24'453.60,0.00,0.00,1'350.00,1'452.60,1'452.60,0.00,0.00,1'350.00,1'452.60,1'452.60,0.00,0.00,1'350.00,1'452.60,1'452.60,0.00,0.00,1'350.00,1'452.60,1'452.60,0.00,0.00,1'350.00,1'452.60,1'452.60,0.00,0.00,1'350.00,1'452.60,1'452.60,0.00,0.00,1'350.00,1'452.60,1'452.60,0.00,0.00,1'350.00,1'452.60,1'452.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,10'800.00,11'620.80,11'620.80,0.00,0.00,73'543.20,79'132.50,79'132.50,0.00,0.00
NOVOTEL,Novotel Genève Centre,470,36'879.30,39'682.20,39'682.20,0.00,0.00,44'087.40,47'438.35,47'438.35,0.00,0.00,40'145.50,43'196.55,43'196.55,0.00,0.00,43'987.55,47'330.55,47'330.55,0.00,0.00,34'837.15,37'485.05,37'485.05,0.00,0.00,41'291.70,44'429.90,44'429.90,0.00,0.00,34'138.30,36'732.75,36'732.75,0.00,0.00,27'249.60,29'320.75,29'320.75,0.00,0.00,302'616.50,325'616.10,325'616.10,0.00,0.00,25'110.85,27'019.35,27'019.35,0.00,0.00,34'159.45,36'755.60,36'755.60,0.00,0.00,39'387.65,42'381.20,42'381.20,0.00,0.00,30'463.90,32'779.05,32'779.05,0.00,0.00,37'117.20,39'938.20,39'938.20,0.00,0.00,39'622.05,42'633.40,42'633.40,0.00,0.00,45'735.70,49'211.60,49'211.60,0.00,0.00,48'841.50,52'553.50,52'553.50,0.00,0.00,42'170.15,45'375.25,45'375.25,0.00,0.00,44'076.70,47'426.60,47'426.60,0.00,0.00,36'059.50,38'800.00,38'800.00,0.00,0.00,37'621.40,40'480.75,40'480.75,0.00,0.00,460'366.05,495'354.50,495'354.50,0.00,0.00,31'538.45,33'935.40,33'935.40,0.00,0.00,32'765.15,35'255.25,35'255.25,0.00,0.00,49'249.35,52'992.20,52'992.20,0.00,0.00,35'142.15,37'813.00,37'813.00,0.00,0.00,38'331.25,41'244.50,41'244.50,0.00,0.00,45'319.20,48'763.25,48'763.25,0.00,0.00,44'819.10,48'225.35,48'225.35,0.00,0.00,43'782.90,47'110.35,47'110.35,0.00,0.00,42'549.45,45'783.15,45'783.15,0.00,0.00,36'535.25,39'311.85,39'311.85,0.00,0.00,35'309.30,37'992.85,37'992.85,0.00,0.00,33'064.05,35'576.70,35'576.70,0.00,0.00,468'405.60,504'003.85,504'003.85,0.00,0.00,29'363.35,31'594.90,31'594.90,0.00,0.00,34'025.80,36'611.70,36'611.70,0.00,0.00,44'920.05,48'333.85,48'333.85,0.00,0.00,40'012.20,43'053.10,43'053.10,0.00,0.00,38'559.85,41'490.50,41'490.50,0.00,0.00,42'086.50,45'285.05,45'285.05,0.00,0.00,43'473.75,46'777.80,46'777.80,0.00,0.00,51'414.05,55'321.60,55'321.60,0.00,0.00,40'003.65,43'043.85,43'043.85,0.00,0.00,36'720.90,39'511.70,39'511.70,0.00,0.00,32'630.95,35'110.75,35'110.75,0.00,0.00,25'411.40,27'342.75,27'342.75,0.00,0.00,458'622.45,493'477.55,493'477.55,0.00,0.00,1'690'010.60,1'818'452.00,1'818'452.00,0.00,0.00
NOVOTEL BU,Novotel Lausanne Bussigny,489,10'900.25,11'728.65,11'728.65,0.00,0.00,10'521.35,11'321.00,11'321.00,0.00,0.00,13'013.90,14'003.10,14'003.10,0.00,0.00,12'225.65,13'154.65,13'154.65,0.00,0.00,11'845.50,12'745.80,12'745.80,0.00,0.00,10'670.60,11'481.80,11'481.80,0.00,0.00,11'772.95,12'667.75,12'667.75,0.00,0.00,8'081.70,8'696.10,8'696.10,0.00,0.00,89'031.90,95'798.85,95'798.85,0.00,0.00,7'794.50,8'386.90,8'386.90,0.00,0.00,8'500.75,9'147.00,9'147.00,0.00,0.00,11'366.60,12'230.45,12'230.45,0.00,0.00,10'704.50,11'518.15,11'518.15,0.00,0.00,11'847.75,12'748.20,12'748.20,0.00,0.00,11'955.70,12'864.35,12'864.35,0.00,0.00,14'018.90,15'084.40,15'084.40,0.00,0.00,15'156.15,16'308.00,16'308.00,0.00,0.00,13'416.25,14'435.80,14'435.80,0.00,0.00,11'857.85,12'759.05,12'759.05,0.00,0.00,7'920.75,8'522.80,8'522.80,0.00,0.00,10'047.00,10'810.55,10'810.55,0.00,0.00,134'586.70,144'815.65,144'815.65,0.00,0.00,6'972.75,7'502.70,7'502.70,0.00,0.00,9'934.55,10'689.55,10'689.55,0.00,0.00,13'798.15,14'846.75,14'846.75,0.00,0.00,11'140.35,11'987.10,11'987.10,0.00,0.00,13'110.00,14'106.35,14'106.35,0.00,0.00,13'580.55,14'612.75,14'612.75,0.00,0.00,13'482.45,14'507.15,14'507.15,0.00,0.00,16'223.80,17'456.80,17'456.80,0.00,0.00,13'275.00,14'283.95,14'283.95,0.00,0.00,11'334.60,12'196.05,12'196.05,0.00,0.00,12'074.40,12'992.10,12'992.10,0.00,0.00,10'458.65,11'253.60,11'253.60,0.00,0.00,145'385.25,156'434.85,156'434.85,0.00,0.00,8'908.35,9'585.35,9'585.35,0.00,0.00,9'964.30,10'721.55,10'721.55,0.00,0.00,10'912.40,11'741.75,11'741.75,0.00,0.00,12'135.40,13'057.70,13'057.70,0.00,0.00,12'987.45,13'974.60,13'974.60,0.00,0.00,12'414.05,13'357.50,13'357.50,0.00,0.00,14'687.95,15'804.25,15'804.25,0.00,0.00,15'165.20,16'317.75,16'317.75,0.00,0.00,13'653.35,14'691.05,14'691.05,0.00,0.00,13'011.90,14'000.75,14'000.75,0.00,0.00,13'391.50,14'409.20,14'409.20,0.00,0.00,11'014.65,11'851.80,11'851.80,0.00,0.00,148'246.50,159'513.25,159'513.25,0.00,0.00,517'250.35,556'562.60,556'562.60,0.00,0.00
